mass,x,y,z,vx,vy,vz
1.0,498.60273701857375,37.35385706439107,0.0,-10.56526625348158,141.02615058560255,0.0
1.0,498.5791661123653,37.66716233934381,0.0,-10.65388236728182,141.01948372655505,0.0
1.0,498.5553983356258,37.98045274092288,0.0,-10.742494274256705,141.01276118411255,0.0
1.0,498.53143369774045,38.29372814542142,0.0,-10.831101939416655,141.0059829609296,0.0
1.0,498.50727220817186,38.60698842913854,0.0,-10.919705327773775,140.9991490596826,0.0
1.0,498.4829138764606,38.9202334683793,0.0,-11.00830440434185,140.99225948307003,0.0
1.0,498.4583587122249,39.23346313945479,0.0,-11.096899134136375,140.98531423381232,0.0
1.0,498.4336067251606,39.54667731868215,0.0,-11.185489482174553,140.97831331465193,0.0
1.0,498.4086579250414,39.85987588238467,0.0,-11.274075413475328,140.9712567283532,0.0
1.0,498.38351232171857,40.17305870689176,0.0,-11.362656893059375,140.9641444777026,0.0
1.0,498.35816992512133,40.48622566853906,0.0,-11.451233885949135,140.95697656550843,0.0
1.0,498.33263074525644,40.799376643668516,0.0,-11.539806357168821,140.94975299460106,0.0
1.0,498.30689479220825,41.112511508628344,0.0,-11.628374271744432,140.94247376783278,0.0
1.0,498.280962076139,41.42563013977312,0.0,-11.716937594703762,140.93513888807794,0.0
1.0,498.2548326072887,41.73873241346385,0.0,-11.805496291076416,140.92774835823278,0.0
1.0,498.2285063959747,42.05181820606796,0.0,-11.894050325893831,140.92030218121556,0.0
1.0,498.20198345259234,42.364887393959464,0.0,-11.982599664189289,140.9128003599665,0.0
1.0,498.1752637876146,42.67793985351886,0.0,-12.071144270997918,140.90524289744778,0.0
1.0,498.1483474115921,42.99097546113325,0.0,-12.159684111356714,140.89762979664357,0.0
1.0,498.12123433515296,43.303994093196444,0.0,-12.248219150304562,140.88996106056,0.0
1.0,498.0939245690034,43.61699562610892,0.0,-12.336749352882238,140.8822366922252,0.0
1.0,498.0664181239268,43.92997993627789,0.0,-12.425274684132429,140.8744566946892,0.0
1.0,498.0387150107845,44.24294690011741,0.0,-12.513795109099746,140.86662107102404,0.0
1.0,498.01081524051546,44.55589639404837,0.0,-12.602310592830737,140.85872982432372,0.0
1.0,497.9827188241363,44.868828294498535,0.0,-12.690821100373899,140.85078295770424,0.0
1.0,497.9544257727412,45.181742477902645,0.0,-12.779326596779699,140.84278047430348,0.0
1.0,497.9259360975022,45.49463882070241,0.0,-12.867827047100572,140.83472237728134,0.0
1.0,497.89724980966866,45.80751719934663,0.0,-12.956322416390964,140.82660866981968,0.0
1.0,497.8683669205677,46.120377490291155,0.0,-13.044812669707312,140.81843935512225,0.0
1.0,497.83928744160426,46.433219569998975,0.0,-13.133297772108074,140.8102144364149,0.0
1.0,497.8100113842607,46.7460433149403,0.0,-13.221777688653747,140.80193391694527,0.0
1.0,497.780538760097,47.058848601592565,0.0,-13.310252384406875,140.79359779998305,0.0
1.0,497.7508695807508,47.37163530644051,0.0,-13.398721824432064,140.7852060888199,0.0
1.0,497.7210038579375,47.68440330597617,0.0,-13.48718597379599,140.77675878676936,0.0
1.0,497.69094160344986,47.99715247669901,0.0,-13.575644797567426,140.76825589716697,0.0
1.0,497.66068282915836,48.30988269511591,0.0,-13.664098260817243,140.75969742337023,0.0
1.0,497.6302275470111,48.62259383774122,0.0,-13.752546328618424,140.7510833687585,0.0
1.0,497.5995757690337,48.93528578109687,0.0,-13.840988966046094,140.74241373673323,0.0
1.0,497.5687275073296,49.247958401712324,0.0,-13.929426138177517,140.7336885307177,0.0
1.0,497.5376827740794,49.56061157612469,0.0,-14.017857810092112,140.72490775415716,0.0
1.0,497.50644158154165,49.87324518087876,0.0,-14.10628394687147,140.71607141051882,0.0
1.0,497.47500394205235,50.185859092527046,0.0,-14.194704513599373,140.70717950329188,0.0
1.0,497.443369868025,50.49845318762984,0.0,-14.283119475361795,140.69823203598736,0.0
1.0,497.4115393719508,50.81102734275526,0.0,-14.371528797246933,140.68922901213833,0.0
1.0,497.3795124663984,51.123581434479306,0.0,-14.459932444345203,140.68017043529971,0.0
1.0,497.34728916401406,51.43611533938587,0.0,-14.54833038174926,140.67105630904842,0.0
1.0,497.31486947752154,51.74862893406686,0.0,-14.636722574554023,140.6618866369833,0.0
1.0,497.28225341972217,52.06112209512216,0.0,-14.725108987856673,140.65266142272512,0.0
1.0,497.2494410034949,52.37359469915975,0.0,-14.813489586756672,140.64338066991652,0.0
1.0,497.21643224179604,52.68604662279571,0.0,-14.90186433635578,140.6340443822222,0.0
1.0,497.1832271476597,52.99847774265431,0.0,-14.990233201758068,140.6246525633287,0.0
1.0,497.1498257341972,53.31088793536801,0.0,-15.078596148069929,140.61520521694447,0.0
1.0,497.11622801459754,53.623277077577534,0.0,-15.166953140400091,140.60570234679997,0.0
1.0,497.08243400212734,53.93564504593195,0.0,-15.25530414385964,140.5961439566475,0.0
1.0,497.0484437101304,54.247991717088645,0.0,-15.343649123562018,140.58653005026127,0.0
1.0,497.0142571520284,54.56031696771344,0.0,-15.43198804462305,140.57686063143754,0.0
1.0,496.97987434132034,54.872620674480615,0.0,-15.520320872160955,140.56713570399435,0.0
1.0,496.9452952915827,55.18490271407294,0.0,-15.608647571296355,140.55735527177177,0.0
1.0,496.9105200164694,55.49716296318176,0.0,-15.696968107152294,140.54751933863167,0.0
1.0,496.875548529712,55.80940129850701,0.0,-15.785282444854248,140.53762790845795,0.0
1.0,496.84038084511945,56.121617596757275,0.0,-15.873590549530137,140.52768098515634,0.0
1.0,496.80501697657814,56.433811734649865,0.0,-15.961892386310351,140.51767857265452,0.0
